individual_id	E13A7	E14E3	E13A6	E18C8	E24A5	E18C3	E12C11	E14A1	E16G9	E24E9	E12G2	ctg325	E10C5	MGF	E12A3	E9E4	E23G1	E19E12	E24C10	E20C1	E19C7	E19E7	E15E12	E10C11	E15E2	E8G8	E15G5	E13C1	E7G8	E8E1	E14A8	E24G3	E12C4	E14E2	E9C4	E16A12	E17A2	E18C10	E14G10	E6E7	E18C7	E21A3	E20G6	E12A4	E7C12	E20A9	E13E6	E13A3	E12C7	E14A6	E10E9	E6A11	E12G1	E10A7	E12E3	E13C7	G1L7	E6E11	E6C2	E8G11	E11G6	E12A9	E12G5	E23G7	E7G10	E15A2	E5E6	E24A6	E20E5	E24A12	E12C3	E22A7	E14G11	E12C2	E14A2	E10C6	E13E2	E14E10	E15A11	E20A8	E23C6	E16A9	E20C2	E12C6	E17C12	WNT1	E9A7	E6C8	E8A10	E20G5	E12G12	E16C7	E26G9	E7A5	E17G3
1531	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1536	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1961	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1975	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2820	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
