individual_id	E10A7	E14E3	E19E12	E8A10	E12G1	E8G8	E17C12	E7G10	E13A7	E13A3	E12C6	E15A2	E5E6	E20G6	E24E9	E18C3	E24A12	E15A11	E12A4	E12A9	E6A11	E20C2	E16C7	E24C10	E20E5	E18C10	E15E12	E20A9	E12A3	E14A1	E21A3	E11G6	E16A12	E10C6	E24G3	E24A6	E14A8	E13E2	E12C7	E10E9	E23G1	E8G11	E17A2	E16A9	E12C2	E18C8	WNT1	E9C4	E20C1	E19E7	E23C6	G1L7	E12C11	E6C2	E14G10	E7C12	E7G8	MGF	E12G5	ctg325	E14G11	E12C4	E16G9	E14E2	E12E3	E22A7	E26G9	E12C3	E9A7	E8E1	E18C7	E23G7	E7A5	E14E10	E10C5	E20G5	E24A5	E14A2	E6E11	E10C11	E12G2	E15E2	E14A6	E12G12	E13A6	E6C8	E15G5	E20A8	E6E7	E9E4	E13E6	E13C7	E19C7	E13C1	E17G3
1531	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1536	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1961	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1975	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2820	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
